rank,Ticker,decision_date,current_price_date,start_price,end_price,current_price,month_to_date_return,momentum
1,MRVL,2026-08-03,2026-08-26,78.60125732421875,193.77999877929688,245.1100006103516,0.26488802845703563,1.4653549494759681
2,NBIS,2026-08-03,2026-08-26,88.16000366210938,212.5800018310547,213.92999267578125,0.006350507258906957,1.411297561259293
3,ARM,2026-08-03,2026-08-26,106.93000030517578,239.05999755859372,251.05999755859372,0.0501966038758066,1.235668164933339
4,DDOG,2026-08-03,2026-08-26,129.0500030517578,273.6000061035156,227.6699981689453,-0.16787283227323047,1.120108482242991
5,ALAB,2026-08-03,2026-08-26,152.44000244140625,321.04998779296875,290.29998779296875,-0.09577947724399027,1.1060744073155702
6,FTNT,2026-08-03,2026-08-26,81.29000091552734,163.2100067138672,157.5399932861328,-0.034740599194232,1.0077500907333876
7,PANW,2026-08-03,2026-08-26,175.4199981689453,347.1300048828125,339.3099975585937,-0.02252760410860699,0.9788508066708275
8,AMD,2026-08-03,2026-08-26,246.2700042724609,484.6400146484375,480.9299926757813,-0.007655211828407227,0.9679214124358233
9,WDC,2026-08-03,2026-08-26,270.03033447265625,527.219970703125,468.8800048828125,-0.11065583449448546,0.95244720091443
10,SNDK,2026-08-03,2026-08-26,665.239990234375,1288.030029296875,1499.3699951171875,0.1640799989233801,0.9361885157311136
