rank,Ticker,decision_date,start_price,end_price,momentum
1,SNDK,2026-06-01,207.00999450683597,1761.4300537109375,7.50891309816817
2,LITE,2026-06-01,199.5800018310547,905.0,3.5345224556420556
3,MU,2026-06-01,234.5067138671875,1035.5,3.4156518289981825
4,STX,2026-06-01,264.3939208984375,921.260009765625,2.48442205719061
5,WDC,2026-06-01,157.77638244628906,546.0576171875,2.4609591671515942
6,INTC,2026-06-01,39.5,109.33000183105467,1.7678481476216374
7,MRVL,2026-06-01,90.25984191894533,219.42999267578125,1.4310921447528417
8,ARM,2026-06-01,168.67999267578125,408.8500061035156,1.4238203927917144
9,LRCX,2026-06-01,160.66917419433594,316.8967590332031,0.9723556844196108
10,AMD,2026-06-01,259.6499938964844,510.1300048828125,0.9646832924101201
